,Food Sales Alphabetical,,,,,,,,
,"October 01, 2021 - October 31, 2021",,,,,,,,
Food Name,,Menu Price,,,Quantity,,Gross,Discount,Net
(L) Ozeki Sake,,,$7.00,3,,,21,0,21
(S) Ozeki Sake,,,$5.00,23,,,115,0,115
A1 Madam Roll,,,$4.50,331,,,1494,0.45,1493.55
A1 Madam Roll 1/2,,,$1.75,12,,,26,0,26
A1 Madam Roll 1/3,,,$1.50,6,,,9,0,9
A1 Madam Roll 1/4,,,$1.13,4,,,4.5,0,4.5
A1 Madam Rolls,,,$4.50,140,,,642.75,0,642.75
A1 Sauce,,,$0.75,8,,,6,0,6
A11 Edamame,,,$6.00,77,,,461.5,1.5,460.0
A11 Edamame 1/2,,,$3.00,2,,,6,0,6
A11 Edamame 1/3,,,$2.00,6,,,12,0,12
A11 Edamame 1/4,,,$1.50,4,,,6,0,6
A11 Roasted Chili Edamame *,,,$6.00,31,,,187.5,0,187.5
A2 Fresh Spring Rolls,,,$5.00,97,,,501.5,0,501.5
A2 Fresh Spring Rolls (GF),,,$5.00,10,,,50.75,0,50.75
A2 Fresh Spring Rolls (Veg),,,$5.00,3,,,15,0,15
A2 Sauce,,,$0.75,10,,,7.5,0,7.5
A2 Spring Roll,,,$5.00,234,,,1172.38,1.25,1171.13
A2 Spring Roll (GF),,,$5.00,1,,,5,0,5
A2 Spring Roll 1/2,,,$2.50,8,,,20,0,20
A3 Brussels,,,$7.00,135,,,945,1.75,943.25
A3 Brussels 1/2,,,$3.50,10,,,35,0,35
A3 Brussels 1/3,,,$2.33,3,,,7,0,7
A3 Brussels 1/4,,,$1.75,4,,,7,0,7
A3 Brussels Sprout *,,,$7.00,48,,,336,0,336
A3 Brussels Sprout * (GF),,,$7.00,3,,,21,0,21
A3 Brussels Sprout * (Veg),,,$7.00,7,,,49,0,49
A4 Sauce,,,$0.75,1,,,0.75,0,0.75
A4 Thai Gyoza,,,$7.00,301,,,2111.5,3.5,2108.0
A4 Thai Gyoza 1/2,,,$3.50,8,,,28,0,28
A4 Thai Gyoza 1/4,,,$1.75,4,,,7,0,7
Asahi,,,$3.00,24,,,70,0,70
Asahi (Bottle),,,$3.00,2,,,6,0,6
Brown Rice,,,$3.00,9,,,27,0,27
