,Food Sales Alphabetical,,,,,,,,
,"January 01, 2021 - January 31, 2021",,,,,,,,
Food Name,,Menu Price,,,Quantity,,Gross,Discount,Net
(4 oz) Homemade Roasted Chili Oil,,,$8.00,2,,,16,0,16
(8oz) Homemade Roasted Chili Oil,,,$15.00,1,,,15,0,15
A1 Madam Roll,,,$4.50,225,,,1012.5,0,1012.5
A1 Madam Rolls,,,$3.75,118,,,527.25,0,527.25
A1 Madam Rolls (Veg),,,$4.50,13,,,58.5,0,58.5
A1 Sauce,,,$0.75,6,,,4.5,0,4.5
A11 Edamame,,,$5.50,27,,,148.5,0,148.5
A11 Roasted Chili Edamame *,,,$4.75,29,,,156.5,0,156.5
A2 Fresh Spring Rolls,,,$4.75,82,,,406.05,0,406.05
A2 Fresh Spring Rolls (Veg),,,$4.95,6,,,29.7,0,29.7
A2 Sauce,,,$0.75,6,,,4.5,0,4.5
A2 Spring Roll,,,$4.95,116,,,574.2,0,574.2
A3 Brussels,,,$6.50,61,,,398.5,0,398.5
A3 Brussels Sprout *,,,$5.95,72,,,462.5,0,462.5
A3 Brussels Sprout * (Veg),,,$5.95,4,,,25.9,0,25.9
A4 Sauce,,,$0.75,1,,,0.75,0,0.75
A4 Thai Gyoza ,,,$4.95,192,,,1052.75,0,1052.75
Asahi (Bottle),,,$3.00,4,,,12,0,12
Bankrupt Noodle,,,$9.75,1,,,9.75,0,9.75
Bean Thread (Clear Glass) Noodle,,,$3.00,1,,,3,0,3
Brown Rice,,,$3.00,2,,,6,0,6
Chili FishSauce,,,$0.75,1,,,0.75,0,0.75
D1 Rice Mango,,,$6.50,52,,,338,0,338
D1 Sweet Coconut Sticky Rice with Mango,,,$5.95,29,,,186.65,0,186.65
D1 Sweet Coconut Sticky Rice with Mango (Veg),,,$5.95,9,,,59.3,0,59.3
D2 Rice Custard,,,$5.50,6,,,33,0,33
D2 Sweet Coconut Sticky Rice with Thai Egg Custard,,,$5.50,8,,,44,0,44
Diet Dr.Pepper,,,$2.50,4,,,10,0,10
Diet Pepsi,,,$1.75,4,,,9.25,0,9.25
Diet Pepso,,,$2.50,9,,,22.5,0,22.5
Dr. Pepper,,,$1.75,7,,,16.75,0,16.75
Dr.Pepper,,,$2.50,7,,,17.5,0,17.5
Easy Peasy IPA,,,$3.00,1,,,3,0,3
Edamame,,,$5.50,1,,,5.5,0,5.5
Extra A2 Sauce (Homemade Peanut Sauce),,,$0.75,2,,,1.5,0,1.5
Extra A4 Sauce (Mam's Homemade Thai Gyoza Sauce) ,,,$0.75,1,,,0.75,0,0.75
Extra Chili Lime Fish Sauce,,,$0.75,1,,,0.75,0,0.75
Extra S2 Sauce (Homemade Hot Spicy Lime Sauce),,,$1.00,1,,,1,0,1
F1 Pad Thai,,,$9.50,348,,,3336.5,0,3336.5
F1 Pad Thai*,,,$9.25,234,,,2276.5,0,2276.5
F10 Pad Macaroni ( Shrimp or Squid ),,,$10.50,1,,,12.5,0,12.5
F11 Guay Teaw Kua Gai ,,,$9.75,14,,,139.25,0,139.25
F11 Teaw Kua Gai,,,$9.75,38,,,376.5,0,376.5
F12 Teaw Nuer Sub,,,$9.95,2,,,19.9,0,19.9
F12. Guay Teaw Nuer Sub,,,$9.95,8,,,82.85,0,82.85
F13 (Street Padthai) Bankrupt Noodle,,,$9.75,68,,,693.75,0,693.75
F13 Bankrupt Noodle,,,$9.75,95,,,942.25,0,942.25
F13. (Street Padthai) Bankrupt Noodle,,,$9.25,13,,,128,0,128
F14 Pad Woon Sen,,,$9.75,22,,,227.6,0,227.6
F14 Pad WoonSen,,,$9.95,25,,,250.75,1,249.75
F15 Pad Woon Sen,,,$11.95,3,,,35.85,0,35.85
F2 Pad Thai,,,$10.50,28,,,298,0,298
F2 Pad Thai ( Shrimp or Squid )*,,,$11.25,16,,,173.75,0,173.75
F3 Pad Sea-Ew,,,$9.50,661,,,6406.25,0,6406.25
F4 Pad Sea-Ew,,,$10.50,23,,,243.5,0,243.5
F4 Pad Sea-Ew ( Shrimp or Squid ),,,$11.25,13,,,144.75,0,144.75
F5 Pad KeeMao,,,$9.50,146,,,1396,0,1396
F5 Spicy Pad Kee Mao (Drunken Noodle)***,,,$9.25,103,,,1000.75,0,1000.75
F6 Pad KeeMao,,,$10.50,10,,,107,0,107
F6 Spicy Pad Kee Mao (Drunken Noodle Sh/Sq)***,,,$11.25,15,,,167.5,0,167.5
F7 Lard Na,,,$9.25,19,,,180.75,0,180.75
F8 Lard Na,,,$10.50,2,,,21,0,21
F9 Pad Macaroni,,,$9.50,7,,,66.5,0,66.5
Fireman #4,,,$3.00,1,,,3,0,3
Flat Rice Noodle,,,$3.00,1,,,3,0,3
Fried Egg Noodle,,,$3.00,1,,,3,0,3
G1 Lek Hang,,,$9.50,2,,,23.5,0,23.5
G1 Sen Lek Hang,,,$9.25,3,,,28.25,0,28.25
G1 Soup,,,$2.00,1,,,2,0,2
G4 Yum Guay Teaw *,,,$9.25,7,,,83,0,83
G4 Yum Teaw*,,,$9.75,8,,,79,0,79
Ice Thai Milk Green Tea ,,,$3.00,15,,,56.4,0,56.4
Jarritos,,,$3.00,20,,,60,0,60
Jasmin Jade Tea,,,$3.00,3,,,9,0,9
Jasmine White Rice,,,$2.50,13,,,32.5,0,32.5
KeowWan Curry,,,$9.50,1,,,9.5,0,9.5
Madam Roll,,,$4.50,2,,,9,0,9
Mam's Ice Thai Coffee,,,$3.00,16,,,55.5,0,55.5
Mam's Ice Thai Tea ,,,$3.00,56,,,193,0,193
Mam's Thai Tea (NO ICE),,,$4.00,7,,,32.5,0,32.5
Mam's Wings 10 Pieces,,,$11.00,22,,,245.25,0,245.25
Mam's Wings 15 Pieces,,,$15.00,4,,,60,0,60
Mam's Wings 20 Pieces,,,$20.00,2,,,40.75,0,40.75
Mam's Wings 30 Pieces,,,$27.00,3,,,81,0,81
Mam's Wings 5 Pieces,,,$6.50,29,,,196.5,0,196.5
Masman Curry,,,$9.50,2,,,19,0,19
Mex Coke,,,$3.00,15,,,45,0,45
Miller Lite,,,$3.00,3,,,9,0,9
Mountain Dew,,,$2.50,3,,,7.5,0,7.5
NS1 Guay Teaw Nuer Sod,,,$9.50,11,,,110,0,110
NS1 Teaw NuerSod,,,$9.50,2,,,19,0,19
NS11 Udon Tom Yum **,,,$9.50,6,,,63.25,0,63.25
