,Food Sales Alphabetical,,,,,,,,
,"April 01, 2021 - April 30, 2021",,,,,,,,
Food Name,,Menu Price,,,Quantity,,Gross,Discount,Net
(4 oz) Homemade Roasted Chili Oil,,,$8.00,2,,,16,0,16
(8oz) Homemade Roasted Chili Oil,,,$15.00,6,,,90,0,90
A1 Madam Roll,,,$4.50,217,,,976.5,0.45,976.05
A1 Madam Roll 1/2,,,$2.25,2,,,4.5,0,4.5
A1 Madam Rolls,,,$4.50,162,,,737.25,0,737.25
A1 Madam Rolls (Veg),,,$4.50,13,,,60.75,0,60.75
A1 Sauce,,,$0.75,13,,,9.75,0,9.75
A11 Edamame,,,$5.50,37,,,203.5,0,203.5
A11 Edamame 1/2,,,$2.75,2,,,5.5,0,5.5
A11 Roasted Chili Edamame *,,,$5.50,29,,,161,0,161
A2 Fresh Spring Rolls,,,$4.95,97,,,487.65,0,487.65
A2 Fresh Spring Rolls (Veg),,,$4.95,18,,,90.6,0,90.6
A2 Sauce,,,$0.75,13,,,9.75,0,9.75
A2 Spring Roll,,,$4.95,164,,,811.8,0,811.8
A3 Brussels,,,$6.50,82,,,533,0,533
A3 Brussels Sprout *,,,$6.50,65,,,422.5,0,422.5
A3 Brussels Sprout * (Veg),,,$6.50,13,,,84.95,0,84.95
A4 Sauce,,,$0.75,4,,,3,0,3
A4 Thai Gyoza ,,,$5.50,240,,,1323,0,1323
A4 Thai Gyoza 1/2,,,$2.75,2,,,5.5,0,5.5
Amaz,,,$12.50,1,,,12.5,0,12.5
Amaz Grn Bean,,,$10.50,3,,,33.5,0,33.5
Asahi,,,$3.00,6,,,18,0,18
Austin Eastciders Original,,,$3.00,2,,,6,0,6
Bankrupt Noodle,,,$9.75,21,,,224.5,0,224.5
Basil Fried Rice,,,$9.75,10,,,98.5,0,98.5
Brown Rice,,,$3.00,7,,,21,0,21
Brussels,,,$6.50,8,,,52,0,52
Chamomile Tea,,,$3.00,2,,,6,0,6
Chamomile Tea (Hot),,,$3.00,1,,,3,0,3
Chang,,,$3.00,8,,,24,0,24
Crab FriRice,,,$14.25,8,,,124,0,124
D1 Rice Mango,,,$6.50,62,,,403.75,0,403.75
D1 Sweet Coconut Sticky Rice with Mango,,,$6.50,33,,,220.5,0,220.5
D1 Sweet Coconut Sticky Rice with Mango (Veg),,,$6.95,8,,,54.35,0,54.35
D2 Rice Custard,,,$5.50,9,,,49.5,0,49.5
D2 Sweet Coconut Sticky Rice with Thai Egg Custard,,,$5.50,6,,,33,0,33
Diet Dr.Pepper,,,$2.50,13,,,32.5,0,32.5
Diet Pepsi,,,$2.50,4,,,10,0,10
Diet Pepso,,,$2.50,33,,,82.5,0,82.5
Dr. Pepper,,,$2.50,7,,,17.5,0,17.5
Dr.Pepper,,,$2.50,38,,,95,0,95
Easy Peasy,,,$3.00,2,,,6,0,6
Edamame,,,$5.50,16,,,88,0,88
Extra A1 Sauce (Homemade Sweet and Sour Sauce),,,$0.75,6,,,4.5,0,4.5
Extra A2 Sauce (Homemade Peanut Sauce),,,$0.75,2,,,1.5,0,1.5
Extra A3 Sauce (Homemade Brussel Sprout Sauce),,,$2.00,1,,,2,0,2
Extra A4 Sauce (Mam's Homemade Thai Gyoza Sauce) ,,,$0.75,7,,,5.25,0,5.25
Extra Chili Lime Fish Sauce,,,$0.75,4,,,3,0,3
Extra S2 Sauce (Homemade Hot Spicy Lime Sauce),,,$1.00,1,,,1,0,1
