,Food Sales Alphabetical,,,,,,,,
,"March 01, 2021 - March 31, 2021",,,,,,,,
Food Name,,Menu Price,,,Quantity,,Gross,Discount,Net
(4 oz) Homemade Roasted Chili Oil,,,$8.00,2,,,16,0,16
A1 Madam Roll,,,$4.50,264,,,1188,0,1188
A1 Madam Rolls,,,$4.50,142,,,643.5,0,643.5
A1 Madam Rolls (Veg),,,$4.50,6,,,27,0,27
A1 Sauce,,,$0.75,11,,,8.25,0,8.25
A11 Edamame,,,$5.50,28,,,154,0,154
A11 Roasted Chili Edamame *,,,$5.50,17,,,93.5,0,93.5
A11 Sauce,,,$1.00,2,,,2,0,2
A2 Fresh Spring Rolls,,,$4.95,87,,,445.65,0,445.65
A2 Fresh Spring Rolls (Veg),,,$4.95,7,,,35.4,0,35.4
A2 Sauce,,,$0.75,20,,,15,0,15
A2 Spring Roll,,,$4.95,122,,,603.9,0,603.9
A3 Brussels,,,$6.50,71,,,461.5,0,461.5
A3 Brussels Sprout *,,,$6.50,63,,,409.5,0,409.5
A3 Brussels Sprout * (Veg),,,$6.95,14,,,92.35,0,92.35
A3 Sauce,,,$1.00,2,,,2,0,2
A4 Sauce,,,$0.75,4,,,3,0,3
A4 Thai Gyoza,,,$5.50,198,,,1098,0,1098
A7 Sauce,,,$0.75,1,,,0.75,0,0.75
Amaz Grn Bean,,,$10.50,1,,,10.5,0,10.5
Asahi,,,$3.00,2,,,6,0,6
Austin Eastciders Original,,,$3.00,1,,,3,0,3
Bankrupt Noodle,,,$9.75,14,,,136.5,0,136.5
Basil Fried Rice,,,$9.75,7,,,68.25,0,68.25
Bean Thread (Clear Glass) Noodle,,,$3.00,1,,,3,0,3
Brown Rice,,,$3.00,1,,,3,0,3
Brussels,,,$6.50,3,,,19.5,0,19.5
Chamomile Tea,,,$3.00,1,,,3,0,3
Crab FriRice,,,$14.25,4,,,57,0,57
D1 Rice Mango,,,$6.50,43,,,279.5,0,279.5
D1 Sweet Coconut Sticky Rice with Mango,,,$6.50,18,,,119,0,119
D1 Sweet Coconut Sticky Rice with Mango (Veg),,,$6.50,4,,,26,0,26
D2 Rice Custard,,,$5.50,10,,,55,0,55
D2 Sweet Coconut Sticky Rice with Thai Egg Custard,,,$5.50,3,,,17.5,0,17.5
Diet Dr.Pepper,,,$2.50,6,,,15,0,15
Diet Pepsi,,,$2.50,1,,,2.5,0,2.5
Diet Pepso,,,$2.50,21,,,52.5,0,52.5
Dr. Pepper,,,$2.50,4,,,10,0,10
Dr.Pepper,,,$2.50,19,,,47.5,0,47.5
Easy Peasy,,,$3.00,1,,,3,0,3
Edamame,,,$5.50,8,,,44,0,44
Extra A2 Sauce (Homemade Peanut Sauce),,,$0.75,5,,,3.75,0,3.75
Extra A3 Sauce (Homemade Brussel Sprout Sauce),,,$2.00,1,,,2,0,2
Extra A7 Sauce (Mam's Homemade Satay Sauce),,,$1.00,1,,,1,0,1
Extra S2 Sauce (Homemade Hot Spicy Lime Sauce),,,$1.00,2,,,2,0,2
F1 Pad Thai,,,$9.50,422,,,4071,47.5,4023.5
F1 Pad Thai*,,,$9.50,299,,,2938.5,0,2938.5
F10 Pad Macaroni,,,$10.50,3,,,41.5,0,41.5
F10 Pad Macaroni ( Shrimp or Squid ),,,$10.50,3,,,31.5,0,31.5
F11 Guay Teaw Kua Gai ,,,$9.75,26,,,266.25,0,266.25
F11 Teaw Kua Gai,,,$9.75,53,,,519.75,0,519.75
F12 Teaw Nuer Sub,,,$9.95,7,,,69.65,0,69.65
F12. Guay Teaw Nuer Sub,,,$9.95,2,,,21.9,0,21.9
F13 (Street Padthai) Bankrupt Noodle,,,$9.75,110,,,1137,0,1137
F13 Bankrupt Noodle,,,$9.75,120,,,1192.5,0,1192.5
F14 Pad Woon Sen,,,$9.95,31,,,331.2,0,331.2
F14 Pad WoonSen,,,$9.95,33,,,330.35,0,330.35
F15 Pad Woon Sen,,,$11.95,7,,,89.65,0,89.65
F15 Pad Woon Sen ( Shrimp or Squid ),,,$11.95,6,,,78.7,0,78.7
F2 Pad Thai,,,$10.50,33,,,355.5,0,355.5
F2 Pad Thai ( Shrimp or Squid )*,,,$10.50,25,,,269.25,0,269.25
F3 Pad Sea-Ew,,,$9.50,709,,,6949.25,0,6949.25
