,Food Sales Alphabetical,,,,,,,,
,"November 01, 2021 - November 30, 2021",,,,,,,,
Food Name,,Menu Price,,,Quantity,,Gross,Discount,Net
(4 oz) Homemade Roasted Chili Oil,,,$10.00,2,,,20,0,20
(8oz) Homemade Roasted Chili Oil,,,$18.00,2,,,36,0,36
(L) Ozeki Sake,,,$7.00,27,,,189,0,189
(L) Ozeki Sake 1/2,,,$3.50,12,,,42,0,42
(L) Sake Bomb,,,$9.00,6,,,54,0,54
(S) Ozeki Sake,,,$5.00,7,,,35,1.25,33.75
A1 Madam Roll,,,$4.50,319,,,1431.5,3.39,1428.11
A1 Madam Roll 1/2,,,$2.25,16,,,36,0,36
A1 Madam Roll 1/5,,,$0.90,5,,,4.5,0,4.5
A1 Madam Rolls,,,$4.50,121,,,552.75,0,552.75
A1 Madam Rolls (30 pcs.),,,$60.00,1,,,60,0,60
A1 Madam Rolls (Veg),,,$4.50,3,,,13.5,0,13.5
A1 Sauce,,,$0.75,2,,,1.5,0,1.5
A11 Edamame,,,$6.00,65,,,390,1.2,388.8
A11 Edamame 1/2,,,$3.00,6,,,18,0,18
A11 Edamame 1/3,,,$2.00,3,,,6,0,6
A11 Roasted Chili Edamame (10 servings),,,$55.00,1,,,55,0,55
A11 Roasted Chili Edamame *,,,$6.00,24,,,145.5,0,145.5
A11 Sauce,,,$1.00,1,,,1,0,1
A2 Fresh Spring Rolls,,,$5.00,67,,,344.75,0,344.75
A2 Fresh Spring Rolls (20 pcs.),,,$70.00,1,,,70,0,70
A2 Fresh Spring Rolls (GF),,,$5.00,5,,,25,0,25
A2 Fresh Spring Rolls (Veg),,,$5.00,9,,,45.75,0,45.75
A2 Sauce,,,$0.75,7,,,5.25,0,5.25
A2 Spring Roll,,,$5.00,212,,,1060,0,1060
A2 Spring Roll (GF),,,$5.00,1,,,5,0,5
A2 Spring Roll 1/2,,,$2.50,14,,,35,0,35
A2 Spring Roll 1/3,,,$1.67,3,,,5,0,5
A3 Brussels,,,$7.00,125,,,875,10.15,864.85
A3 Brussels 1/2,,,$3.50,6,,,21,0,21
A3 Brussels Sprout *,,,$7.00,33,,,231,0,231
A3 Brussels Sprout * (GF),,,$7.00,1,,,7,0,7
A3 Brussels Sprout * (Veg),,,$7.00,7,,,49,0,49
A4 Sauce,,,$0.75,4,,,3,0,3
A4 Thai Gyoza,,,$7.00,254,,,1780.25,0,1780.25
A4 Thai Gyoza (30 pcs.),,,$30.00,1,,,30,0,30
A4 Thai Gyoza 1/2,,,$3.50,4,,,14,0,14
A7 Satay (30 skewers),,,$65.00,1,,,65,0,65
Asahi,,,$3.00,17,,,54,0,54
Brown Rice,,,$3.00,10,,,30,0,30
Bud Light,,,$2.00,7,,,17,0,17
Bud Light TAB,,,$3.00,12,,,36,0,36
Chamomile Tea,,,$3.00,7,,,21,0,21
Chang,,,$3.00,15,,,54,5,49
D1 Rice Mango,,,$7.00,59,,,413,0,413
D1 Sweet Coconut Sticky Rice with Mango,,,$7.00,19,,,134,0,134
D2 Rice Custard,,,$5.50,14,,,77,0,77
D2 Rice Custard 1/2,,,$2.75,2,,,5.5,0,5.5
D2 Sweet Coconut Sticky Rice with Thai Egg Custard,,,$6.00,7,,,41.5,0,41.5
Diet Pepsi,,,$2.50,7,,,17.5,0,17.5
Dos XX,,,$3.00,18,,,56,0,56
Dos XX TAB,,,$4.00,1,,,4,0,4
Dr.Pepper,,,$2.50,10,,,25,0,25
Extra A1 Sauce (Homemade Sweet and Sour Sauce),,,$0.75,3,,,2.25,0,2.25
Extra A2 Sauce (Homemade Peanut Sauce),,,$0.75,2,,,1.5,0,1.5
Extra A7 Sauce (Mam's Homemade Satay Sauce),,,$1.00,1,,,1,0,1
Extra Chili Lime Fish Sauce,,,$0.75,2,,,1.5,0,1.5
F1 Pad Thai,,,$11.00,663,,,7375.05,3.3,7371.75
F1 Pad Thai (GF),,,$11.00,3,,,33,0,33
F1 Pad Thai 1/2,,,$5.50,4,,,22,0,22
F1 Pad Thai*,,,$11.00,226,,,2563.5,0,2563.5
F1 Pad Thai* (Full Tray ),,,$130.00,1,,,130,0,130
F1 Pad Thai* (GF),,,$11.00,6,,,66,0,66
F1 Pad Thai* (Half Tray ),,,$65.00,3,,,195,0,195
F10 Pad Macaroni,,,$13.00,4,,,62,0,62
F10 Pad Macaroni ( Shrimp or Squid ),,,$13.00,1,,,17.8,0,17.8
F11 Guay Teaw Kua Gai ,,,$11.00,14,,,160.75,0,160.75
F11 Teaw Kua Gai,,,$11.00,55,,,623,0,623
F12 Teaw Nuer Sub,,,$11.00,9,,,105,0,105
F12. Guay Teaw Nuer Sub,,,$11.00,6,,,71.5,0,71.5
F13 (Street Padthai) Bankrupt Noodle,,,$11.00,111,,,1261.1,0,1261.1
F13 (Street Padthai) Bankrupt Noodle (GF),,,$11.00,6,,,82,0,82
F13 Bangkok Noodle,,,$10.75,1,,,10.75,0,10.75
F13 Bankrupt Noodle,,,$11.00,295,,,3316.5,4.95,3311.55
F13 Bankrupt Noodle (GF),,,$11.00,1,,,11,0,11
F14 Pad Woon Sen,,,$11.00,39,,,441.6,0,441.6
F14 Pad WoonSen,,,$11.00,91,,,1021.8,0,1021.8
F14 Pad WoonSen 1/2,,,$5.50,2,,,11,0,11
F15 Pad Woon Sen,,,$13.00,12,,,158,0,158
F15 Pad Woon Sen ( Shrimp or Squid ),,,$13.00,8,,,114.8,0,114.8
F2 Pad Thai,,,$13.00,83,,,1089,0,1089
F2 Pad Thai ( Shrimp or Squid )*,,,$13.00,15,,,200,0,200
F2 Pad Thai ( Shrimp or Squid )* (GF),,,$13.00,1,,,18,0,18
F3 Pad Sea-Ew,,,$11.00,967,,,10937.35,4.4,10932.95
F3 Pad Sea-Ew (Half Tray ),,,$65.00,1,,,65,0,65
F3 Pad Sea-Ew 1/2,,,$5.50,4,,,22,0,22
F4 Pad Sea-Ew,,,$13.00,44,,,596.3,0,596.3
F4 Pad Sea-Ew ( Shrimp or Squid ),,,$13.00,10,,,138,0,138
F5 Pad Kee Mao (Drunken Noodle)*** (GF),,,$11.00,4,,,46,0,46
F5 Pad KeeMao,,,$11.00,347,,,3860.5,2.75,3857.75
F5 Pad KeeMao (GF),,,$11.00,1,,,11,0,11
F5 Pad KeeMao 1/2,,,$5.50,2,,,11,0,11
F5 Spicy Pad Kee Mao (Drunken Noodle)***,,,$11.00,122,,,1401.5,0,1401.5
F6 Pad KeeMao,,,$13.00,50,,,663,0,663
F6 Spicy Pad Kee Mao (Drunken Noodle Sh/Sq)***,,,$13.00,9,,,124.5,0,124.5
F7 Lard Na,,,$11.00,27,,,302,0,302
F8 Lard Na,,,$13.00,1,,,13,0,13
F9 Pad Macaroni,,,$11.00,49,,,547,0,547
F9 Pad Macaroni (Half Tray ),,,$65.00,1,,,65,0,65
F9 Pad Macaroni (Veg),,,$11.00,2,,,24,0,24
F9 Pad Macaroni 1/2,,,$5.50,4,,,22,0,22
Fireman #4,,,$3.00,10,,,34,0,34
Fried Egg Noodle,,,$3.00,1,,,3,0,3
G1 Lek Hang,,,$11.00,12,,,132,0,132
G1 Sen Lek Hang,,,$11.00,3,,,36,0,36
G4 Yum Guay Teaw *,,,$11.00,7,,,86.5,0,86.5
G4 Yum Teaw*,,,$11.00,8,,,96,0,96
Ginger Spice Herbal Blend (Hot),,,$3.00,1,,,3,0,3
Ginger Spice Tea,,,$3.00,8,,,24,0,24
Ice Thai Milk Green Tea ,,,$4.00,13,,,52,0,52
Independence austin amber,,,$3.00,1,,,3,0,3
