Food Name,Menu Price,Quantity,Gross,Discount,Net
(4 oz) Homemade Roasted Chili Oil,$8.00,3,24,0,24
(8oz) Homemade Roasted Chili Oil,$15.00,2,30,0,30
A1 Madam Roll,$4.50,197,886.5,0,886.5
A1 Madam Rolls,$4.50,124,567.75,0,567.75
A1 Madam Rolls (30 pcs.),$40.00,2,80,0,80
A1 Madam Rolls (Veg),$4.50,5,22.5,0,22.5
A1 Sauce,$0.75,4,3,0,3
A11 Edamame,$5.50,16,88,0,88
A11 Roasted Chili Edamame *,$5.50,22,121,0,121
A2 Fresh Spring Rolls,$4.95,89,444.3,0,444.3
A2 Fresh Spring Rolls (Veg),$4.95,8,41.85,0,41.85
A2 Sauce,$0.75,14,10.5,0,10.5
A2 Spring Roll,$4.95,105,519.75,0,519.75
A3 Brussels,$6.50,60,390,0,390
A3 Brussels Sprout *,$6.50,45,292.5,0,292.5
A3 Brussels Sprout * (Veg),$6.50,11,72.85,0,72.85
A3 Sauce,$1.00,2,2,0,2
A3 SSS Brussels Sprouts (8-10 servings),$60.00,2,120,0,120
A4 Thai Gyoza,$5.50,141,789,0,789
Amaz Grn Bean,$10.50,1,10.5,0,10.5
Bankrupt Noodle,$9.75,1,9.75,0,9.75
Brown Rice,$3.00,5,15,0,15
D1 Rice Mango,$6.50,28,182,0,182
D1 Sweet Coconut Sticky Rice with Mango,$6.50,32,209,0,209
D1 Sweet Coconut Sticky Rice with Mango (Veg),$6.50,6,39,0,39
D2 Rice Custard,$5.50,13,71.5,0,71.5
D2 Sweet Coconut Sticky Rice with Thai Egg Custard,$5.50,9,49.85,0,49.85
Diet Dr.Pepper,$2.50,4,10,0,10
Diet Pepsi,$2.50,1,2.5,0,2.5
Diet Pepso,$2.50,4,10,0,10
Dr. Pepper,$2.50,7,17.5,0,17.5
Dr.Pepper,$2.50,12,30,0,30
Easy Peasy IPA,$3.00,1,3,0,3
Edamame,$5.50,1,5.5,0,5.5
Extra A2 Sauce (Homemade Peanut Sauce),$0.75,3,2.25,0,2.25
Extra A4 Sauce (Mam's Homemade Thai Gyoza Sauce) ,$0.75,1,0.75,0,0.75
Extra Chili Lime Fish Sauce,$0.75,5,3.75,0,3.75
Extra S2 Sauce (Homemade Hot Spicy Lime Sauce),$1.00,2,2,0,2
F1 Pad Thai,$9.50,301,2893.5,0,2893.5
F1 Pad Thai*,$9.50,251,2446.5,0,2446.5
F1 Pad Thai* (Half Tray ),$60.00,3,180,0,180
F10 Pad Macaroni,$10.50,3,37.5,0,37.5
F10 Pad Macaroni ( Shrimp or Squid ),$10.50,2,21,0,21
F11 Guay Teaw Kua Gai ,$9.75,15,147,0,147
F11 Teaw Kua Gai,$9.75,37,365.75,0,365.75
