Food Name,Menu Price,Quantity,Gross,Discount,Net
(4 oz) Homemade Roasted Chili Oil,$8.00,6,48,0,48
(8oz) Homemade Roasted Chili Oil,$15.00,2,30,0,30
A1 Madam Roll,$4.50,306,1377,0,1377
A1 Madam Rolls,$4.50,157,714,0,714
A1 Madam Rolls (Veg),$4.50,2,9,0,9
A1 Sauce,$0.75,17,12.75,0,12.75
A11 Edamame,$5.50,46,253,0,253
A11 Roasted Chili Edamame *,$5.50,35,193.25,0,193.25
A11 Sauce,$1.00,1,1,0,1
A2 Fresh Spring Rolls,$4.95,76,385.2,0,385.2
A2 Fresh Spring Rolls (GF),$4.95,6,30.45,0,30.45
A2 Fresh Spring Rolls (Veg),$4.95,4,20.55,0,20.55
A2 Sauce,$0.75,13,9.75,0,9.75
A2 Spring Roll,$4.95,195,965.25,0,965.25
A3 Brussels,$6.50,99,643.5,0,643.5
A3 Brussels Sprout *,$6.50,47,305.5,0,305.5
A3 Brussels Sprout * (GF),$7.50,1,7.5,0,7.5
A3 Brussels Sprout * (Veg),$6.50,8,52,0,52
A4 Sauce,$0.75,5,3.75,0,3.75
A4 Thai Gyoza,$5.50,264,1466.25,0,1466.25
Asahi,$3.00,4,12,0,12
Asahi (Bottle),$3.00,4,12,0,12
Brown Rice,$3.00,12,36,0,36
Chang,$3.00,14,42,0,42
D1 Rice Mango,$6.50,88,577.25,0,577.25
D1 Sweet Coconut Sticky Rice with Mango,$6.50,29,192.5,0,192.5
D1 Sweet Coconut Sticky Rice with Mango (GF),$6.50,2,13,0,13
D1 Sweet Coconut Sticky Rice with Mango (Veg),$6.50,8,53,0,53
D2 Rice Custard,$5.50,28,154,0,154
D2 Sweet Coconut Sticky Rice with Thai Egg Custard,$5.50,7,38.5,0,38.5
Diet Dr.Pepper,$2.50,6,15,0,15
Diet Pepsi,$2.50,1,2.5,0,2.5
Diet Pepso,$2.50,39,97.5,0,97.5
Dr. Pepper,$2.50,5,12.5,0,12.5
Dr.Pepper,$2.50,26,65,0,65
Easy Peasy IPA,$3.00,2,6,0,6
Extra A1 Sauce (Homemade Sweet and Sour Sauce),$0.75,1,0.75,0,0.75
Extra A2 Sauce (Homemade Peanut Sauce),$0.75,1,0.75,0,0.75
Extra A3 Sauce (Homemade Brussel Sprout Sauce),$2.00,1,2,0,2
Extra A7 Sauce (Mam's Homemade Satay Sauce),$1.00,1,1,0,1
Extra S2 Sauce (Homemade Hot Spicy Lime Sauce),$1.00,1,1,0,1
F1 Pad Thai,$9.50,530,5113,0,5113
F1 Pad Thai*,$9.50,319,3154.75,0,3154.75
F1 Pad Thai* (GF),$10.50,8,88,0,88
F10 Pad Macaroni,$10.50,3,39.5,0,39.5
F10 Pad Macaroni ( Shrimp or Squid ),$10.50,2,21,0,21
F11 Guay Teaw Kua Gai ,$9.75,17,176,0.16,175.84
F11 Teaw Kua Gai,$9.75,79,787.25,0,787.25
F12 Teaw Nuer Sub,$9.95,8,82.6,0,82.6
F12. Guay Teaw Nuer Sub,$9.95,4,39.8,0,39.8
F13 (Street Padthai) Bankrupt Noodle,$9.75,125,1294.5,0,1294.5
F13 (Street Padthai) Bankrupt Noodle (GF),$10.75,3,34.25,0,34.25
F13 Bankrupt Noodle,$9.75,163,1616.25,0,1616.25
F14 Pad Woon Sen,$9.95,42,425.9,0,425.9
F14 Pad WoonSen,$9.95,33,330.35,0,330.35
F15 Pad Woon Sen,$11.95,10,119.5,0,119.5
F15 Pad Woon Sen ( Shrimp or Squid ),$11.95,1,13.95,0,13.95
F2 Pad Thai,$10.50,55,594.5,0,594.5
F2 Pad Thai ( Shrimp or Squid )*,$10.50,41,454.75,0,454.75
F2 Pad Thai ( Shrimp or Squid )* (GF),$11.50,1,11.5,0,11.5
F3 Pad Sea-Ew,$9.50,843,8215.75,0,8215.75
F4 Pad Sea-Ew,$10.50,55,601,0,601
F4 Pad Sea-Ew ( Shrimp or Squid ),$10.50,21,228.5,0,228.5
F5 Pad Kee Mao (Drunken Noodle)*** (GF),$10.50,3,35.5,0,35.5
F5 Pad KeeMao,$9.50,277,2697,0,2697
F5 Spicy Pad Kee Mao (Drunken Noodle)***,$9.50,132,1320.5,0,1320.5
F6 Pad KeeMao,$10.50,25,264.5,0,264.5
F6 Spicy Pad Kee Mao (Drunken Noodle Sh/Sq)***,$10.50,20,226,1.88,224.12
F7 Lard Na,$9.50,22,216,0,216
F9 Pad Macaroni,$9.50,14,133,0,133
F9 Pad Macaroni (Veg),$9.75,5,50.25,0,50.25
Fireman #4,$3.00,12,36,0,36
Flat Rice Noodle,$3.00,1,3,0,3
G1 Lek Hang,$9.50,15,166.5,0,166.5
G1 Sen Lek Hang,$9.50,3,28.5,0,28.5
G1 Soup,$2.00,2,4,0,4
G4 Yum Guay Teaw *,$9.75,6,62.5,0,62.5
G4 Yum Teaw*,$9.75,11,113.75,0,113.75
Ginger Spice Tea,$3.00,1,3,0,3
Green Tea (Hot),$3.00,1,3,0,3
Ice Thai Milk Green Tea ,$3.95,16,63.2,3.95,59.25
Jarritos,$3.00,65,195,0,195
Jasmine White Rice,$2.50,13,32.5,0,32.5
Kirin Ichiban,$3.00,15,45,0,45
Kirin Ichiban (Bottle) ,$3.00,4,12,0,12
Kirin Light,$3.00,2,6,0,6
Lemongrass Ginger Tea,$3.00,1,3,0,3
Mam's Ice Thai Coffee,$3.50,21,73.5,0,73.5
Mam's Ice Thai Tea ,$3.50,73,255.5,0,255.5
Mam's Thai coffee (NO ICE),$4.75,2,9.5,0,9.5
Mam's Thai Milk Green Tea (No Ice),$4.95,1,4.95,0,4.95
Mam's Thai Tea (NO ICE),$4.75,7,33.25,0,33.25
Mam's Wings 10 Pieces,$11.00,18,204.5,0,204.5
Mam's Wings 15 Pieces,$15.00,4,62.25,0,62.25
Mam's Wings 20 Pieces,$20.00,1,20.75,0,20.75
Mam's Wings 30 Pieces,$27.00,1,27,0,27
Mam's Wings 5 Pieces,$6.50,46,311,0,311
Mex Coke,$3.00,69,207,0,207
Miller Lite,$3.00,1,3,0,3
Mountain Dew,$2.50,1,2.5,0,2.5
NS1 Guay Teaw Nuer Sod,$9.50,13,123.5,0,123.5
NS1 Teaw NuerSod,$9.50,28,272,0,272
NS11 Udon Tom Yum **,$9.95,4,41.8,0,41.8
NS11 Udon TomYum,$9.95,17,185.65,0,185.65
NS12 Yen Ta Fo Seafood **,$11.50,3,34.5,0,34.5
NS12 YenTaFo Sea,$11.50,7,80.5,0,80.5
NS13 Yen Ta Fo Tofu **,$9.95,3,32.35,0,32.35
NS13 YenTaFo Tofu,$9.95,3,29.85,0,29.85
NS14 Guay Teaw Tom Yum Moo ****,$10.25,7,77.75,0,77.75
NS14 TomYum Moo,$10.25,9,94.75,0,94.75
NS15 Tom Khlong,$9.50,4,38,0,38
NS15 Tom Khlong **.,$9.50,2,21,0,21
NS16 Kao Soi,$10.95,36,398.2,0,398.2
NS16 Kao Soi **,$10.95,17,188.15,0,188.15
NS5 Guay Teaw Moo,$9.50,7,68.5,0,68.5
NS5 Teaw Moo,$9.50,12,116,2.38,113.62
NS6 Guay Teaw Gai Toon,$9.50,8,79,0,79
NS6 Teaw Gai,$9.50,14,133,0,133
NS8 Guay Teaw Tom Yum **,$10.25,14,147,0,147
NS8 Teaw TomYum,$10.25,20,209,0,209
NS9 Guay Teaw Tom Yum Seafood **,$12.25,3,40.75,0,40.75
NS9 Teaw TomYum Sea,$12.25,6,73.5,0,73.5
Oolong Tea,$3.00,1,3,0,3
Open Food,$0.00,7,8.5,0,8.5
Organic Brown Rice ,$2.50,2,5,0,5
P1 Basil Fried Rice,$9.75,155,1536.75,0,1536.75
P1 Spicy Basil Fried Rice ****,$9.75,67,686.75,0,686.75
P10 Spicy Tom Yum Soup **,$9.50,7,68.5,0,68.5
P10 TomYum,$9.50,26,255,0,255
P11 Spicy Tom Kha Coconut Soup**,$9.50,26,264,0,264
P11 Tom Kha,$9.50,66,650,0,650
P12 Panang Curry,$9.50,121,1174,0,1174
P12 Panang Curry **,$9.50,61,595.5,0,595.5
P12 Panang Curry ** (GF),$10.50,2,21,0,21
P13 Masman Curry,$9.50,49,476,0,476
P13 Masman Curry **,$9.50,28,270.5,0,270.5
P14 Mixed Vegetable Stir-fried,$9.50,27,295,0,295
P14 Veg Stir-fried,$9.50,44,427,0,427
P15 Prik Thai Dum,$10.50,21,223.5,0,223.5
P15	 Pad Prik Thai Dum *,$10.50,6,69.75,0,69.75
