Food Name,Menu Price,Quantity,Gross,Discount,Net
(8oz) Homemade Roasted Chili Oil,$15.00,1,15,0,15
A1 Madam Roll,$4.50,160,720,0,720
A1 Madam Roll 1/3,$1.50,6,9,0,9
A1 Madam Rolls,$4.50,76,350.25,0,350.25
A1 Madam Rolls (Veg),$4.50,2,9.75,0,9.75
A1 Sauce,$0.75,1,0.75,0,0.75
A11 Edamame,$5.50,43,236.5,0,236.5
A11 Edamame 1/2,$2.75,4,11,0,11
A11 Edamame 1/3,$1.83,3,5.5,0,5.5
A11 Roasted Chili Edamame *,$5.50,19,105.25,0,105.25
A11 Sauce,$1.00,1,1,0,1
A2 Fresh Spring Rolls,$4.95,58,301.35,0,301.35
A2 Fresh Spring Rolls (GF),$4.95,6,30.45,0,30.45
A2 Fresh Spring Rolls (Veg),$4.95,8,39.6,0,39.6
A2 Sauce,$0.75,11,8.25,0,8.25
A2 Spring Roll,$4.95,151,747.45,0,747.45
A2 Spring Roll 1/2,$2.48,6,14.85,0,14.85
A3 Brussels,$6.50,68,442,0,442
A3 Brussels 1/2,$3.25,2,6.5,0,6.5
A3 Brussels Sprout *,$6.50,31,201.5,0,201.5
A3 Brussels Sprout * (GF),$7.50,1,7.5,0,7.5
A3 Brussels Sprout * (Veg),$6.50,6,39,0,39
A4 Sauce,$0.75,2,1.5,0,1.5
A4 Thai Gyoza ,$5.50,202,1112.5,0,1112.5
A4 Thai Gyoza 1/2,$2.75,2,5.5,0,5.5
Asahi,$3.00,16,48,0,48
Brown Rice,$3.00,13,39,0,39
Bud Light,$2.00,13,26,0,26
Chamomile Tea,$3.00,2,6,0,6
Chang,$3.00,9,27,0,27
D1 Rice Mango,$6.50,20,130,0,130
D1 Sweet Coconut Sticky Rice with Mango,$6.50,16,104,0,104
D2 Rice Custard,$5.50,25,137.5,0,137.5
D2 Sweet Coconut Sticky Rice with Thai Egg Custard,$4.95,6,32.45,0,32.45
Diet Dr.Pepper,$2.50,17,42.5,0,42.5
Diet Pepsi,$2.50,3,7.5,0,7.5
Diet Pepso,$2.50,39,97.5,0,97.5
Dos XX,$3.00,2,6,0,6
Dr. Pepper,$2.50,6,15,0,15
Dr.Pepper,$2.50,36,90,0,90
