Food Name,Menu Price,Quantity,Gross,Discount,Net
Dr.Pepper 1/2,$1.25,2,2.5,0,2.5
Extra A1 Sauce (Homemade Sweet and Sour Sauce),$0.75,5,3.75,0,3.75
Extra A2 Sauce (Homemade Peanut Sauce),$0.75,4,3,0,3
Extra A4 Sauce (Mam's Homemade Thai Gyoza Sauce) ,$0.75,1,0.75,0,0.75
Extra A7 Sauce (Mam's Homemade Satay Sauce),$1.00,1,1,0,1
Extra Chili Lime Fish Sauce,$0.75,2,1.5,0,1.5
Extra S2 Sauce (Homemade Hot Spicy Lime Sauce),$1.00,1,1,0,1
F1 Pad Thai,$9.50,451,4342,0,4342
F1 Pad Thai 1/2,$4.75,10,47.5,0,47.5
F1 Pad Thai 1/3,$3.17,6,19,0,19
F1 Pad Thai*,$9.50,164,1627,0,1627
F1 Pad Thai* (GF),$10.50,9,99.5,0,99.5
F1 Pad Thai* (Half Tray ),$60.00,1,70,0,70
F10 Pad Macaroni,$10.50,5,62.5,0,62.5
F11 Guay Teaw Kua Gai ,$9.75,13,128.75,0,128.75
F11 Teaw Kua Gai,$9.75,43,423.25,0,423.25
F12 Teaw Nuer Sub,$9.95,5,52.25,0,52.25
F12 Teaw Nuer Sub 1/2,$4.98,2,9.95,0,9.95
F12. Guay Teaw Nuer Sub,$9.95,1,9.95,0,9.95
F13 (Street Padthai) Bankrupt Noodle,$9.75,62,640.75,0,640.75
F13 (Street Padthai) Bankrupt Noodle (GF),$10.75,1,10.75,0,10.75
F13 Bankrupt Noodle,$9.75,161,1591.25,0,1591.25
F13 Bankrupt Noodle 1/5,$1.95,5,9.75,0,9.75
F14 Pad Woon Sen,$9.95,14,147.3,0,147.3
F14 Pad WoonSen,$9.95,24,240.8,0,240.8
F14 Pad WoonSen 1/3,$3.32,3,9.95,0,9.95
F15 Pad Woon Sen,$11.95,7,83.65,1.2,82.45
F15 Pad Woon Sen ( Shrimp or Squid ),$11.95,4,47.8,0,47.8
F2 Pad Thai,$10.50,56,596.5,0,596.5
F2 Pad Thai ( Shrimp or Squid )*,$10.50,25,290.5,0,290.5
F3 Pad Sea-Ew,$9.50,623,6067,0,6067
F3 Pad Sea-Ew 1/5,$1.90,10,19,0,19
F4 Pad Sea-Ew,$10.50,45,477.5,0,477.5
F4 Pad Sea-Ew ( Shrimp or Squid ),$10.50,14,153,0,153
F5 Pad Kee Mao (Drunken Noodle)*** (GF),$10.50,1,10.5,0,10.5
F5 Pad KeeMao,$9.50,241,2326.5,0,2326.5
F5 Pad KeeMao 1/2,$4.75,2,9.5,0,9.5
F5 Pad KeeMao 1/4,$2.38,4,9.5,0,9.5
F5 Spicy Pad Kee Mao (Drunken Noodle)***,$9.50,92,935.5,0,935.5
F6 Pad KeeMao,$10.50,39,417.5,0,417.5
F6 Spicy Pad Kee Mao (Drunken Noodle Sh/Sq)***,$10.50,14,154,0,154
F7 Lard Na,$9.50,16,154,0,154
F9 Pad Macaroni,$9.50,23,225.5,0,225.5
F9 Pad Macaroni (Veg),$9.50,1,9.5,0,9.5
F9 Pad Macaroni 1/3,$3.17,3,9.5,0,9.5
Fireman #4,$3.00,5,15,0,15
Flat Rice Noodle,$3.00,2,6,0,6
G1 Lek Hang,$9.50,7,75.5,0,75.5
G1 Sen Lek Hang,$9.50,2,19,0,19
G4 Yum Guay Teaw *,$9.75,2,28,0,28
G4 Yum Teaw*,$9.75,14,140.5,0,140.5
Ginger Spice Tea,$3.00,1,3,0,3
Ice Thai Milk Green Tea ,$3.95,12,47.4,0,47.4
Jarritos,$3.00,46,138,0,138
Jasmin Jade Tea,$3.00,3,9,0,9
Jasmine White Rice,$2.50,21,52.5,0,52.5
Kirin Ichiban,$3.00,56,168,0,168
Kirin Ichiban (6Btl),$19.99,2,39.98,0,39.98
Kirin Ichiban (Bottle) ,$3.00,3,9,0,9
Kirin Light,$3.00,5,15,0,15
Lard Na,$9.50,1,9.5,0,9.5
Lemongrass Ginger Tea,$3.00,1,3,0,3
Mam's Ice Thai Coffee,$3.50,12,42,0,42
Mam's Ice Thai Tea ,$3.50,22,77,0,77
Mam's Salad,$4.95,1,4.95,0,4.95
Mam's Thai coffee (NO ICE),$4.75,2,9.5,0,9.5
Mam's Thai Milk Green Tea (No Ice),$4.95,1,4.95,0,4.95
Mam's Wings 10 Pieces,$11.00,14,155.5,0,155.5
Mam's Wings 15 Pieces,$15.00,3,46.5,0,46.5
Mam's Wings 20 Pieces,$20.00,1,20,0,20
Mam's Wings 5 Pieces,$6.50,15,105.75,0,105.75
Mex Coke,$3.00,1,3,0,3
Miller Lite,$3.00,2,6,0,6
Mountain Dew,$2.50,1,2.5,0,2.5
NS1 Guay Teaw Nuer Sod,$9.50,10,100,0,100
NS1 Teaw NuerSod,$9.50,37,357.5,0,357.5
NS11 Udon Tom Yum **,$9.95,3,29.85,0,29.85
NS11 Udon TomYum,$9.95,8,91.25,0,91.25
NS12 Yen Ta Fo Seafood **,$11.50,1,11.5,0,11.5
NS12 YenTaFo Sea,$11.50,6,73,0,73
NS13 Yen Ta Fo Tofu **,$9.95,1,9.95,0,9.95
NS13 YenTaFo Tofu,$9.95,1,9.95,0,9.95
NS14 TomYum Moo,$10.25,9,92.25,0,92.25
NS15 Tom Khlong,$9.50,4,38,0,38
NS15 Tom Khlong **.,$9.50,1,9.5,0,9.5
NS16 Kao Soi,$10.95,25,281.75,0,281.75
NS16 Kao Soi **,$10.95,3,34.85,0,34.85
NS5 Guay Teaw Moo,$9.50,1,11.5,0,11.5
NS5 Teaw Moo,$9.50,10,97,0,97
NS6 Guay Teaw Gai Toon,$9.50,3,28.5,0,28.5
NS6 Teaw Gai,$9.50,13,138.5,0,138.5
NS6 Teaw Gai 1/2,$4.75,2,9.5,0,9.5
NS8 Guay Teaw Tom Yum **,$10.25,3,30.75,0,30.75
NS8 Teaw TomYum,$10.25,14,145.5,0,145.5
NS9 Guay Teaw Tom Yum Seafood **,$12.25,2,24.5,0,24.5
NS9 Teaw TomYum Sea,$12.25,6,73.5,0,73.5
Open Food,$0.00,4,9,0,9
P1 Basil Fried Rice,$9.75,157,1562.75,0,1562.75
P1 Basil Fried Rice 1/2,$4.88,2,9.75,0,9.75
P1 Basil Fried Rice 1/4,$2.44,4,10.75,0,10.75
P1 Spicy Basil Fried Rice ****,$9.75,30,303.5,0,303.5
P10 Spicy Tom Yum Soup **,$9.50,2,23,0,23
P10 TomYum,$9.50,30,301,0,301
P10 TomYum 1/3,$3.17,3,9.5,0,9.5
P11 Spicy Tom Kha Coconut Soup**,$9.50,22,213,0,213
P11 Tom Kha,$9.50,37,362.5,0,362.5
P12 Panang Curry,$9.50,110,1068.5,0,1068.5
P12 Panang Curry **,$9.50,37,376.5,0,376.5
P12 Panang Curry ** (GF),$10.50,2,26,0,26
P12 Panang Curry 1/2,$4.75,6,28.5,0,28.5
P13 Masman Curry,$9.50,33,316,0,316
P13 Masman Curry **,$9.50,19,189.5,0,189.5
P14 Mixed Vegetable Stir-fried,$9.50,13,135.5,0,135.5
P14 Veg Stir-fried,$9.50,53,526.5,0,526.5
P15 Prik Thai Dum,$10.50,30,319,1.05,317.95
P15	 Pad Prik Thai Dum *,$10.50,5,54.5,0,54.5
P18 Sweet & Sour,$9.50,26,254,0,254
P18 Thai Sweet and Sour,$9.50,5,50,0,50
P19 Rice Soup,$9.50,1,9.5,0,9.5
P2 Pad Ga-Tiam,$9.50,54,518,0,518
P2 Pad Ga-Tiam Prik Thai *,$9.50,8,85.5,0,85.5
P22 Prik Khing,$9.75,24,237.5,0,237.5
P22	 Pad Prik Khing **,$9.75,3,29.25,0,29.25
P22	 Pad Prik Khing ** (GF),$10.75,1,10.75,0,10.75
P24 Prik Pao,$9.50,18,174,0,174
P24	 Pad Prik Pao*,$9.50,6,59,0,59
P25 Gang Jeud,$9.00,3,27,0,27
P25	 Gang Jeud (Soup),$9.00,1,10.25,0,10.25
P26 Gang Pa,$10.50,9,96,0,96
P26 Gang Pa (Jungle Curry) ****,$10.50,1,10.5,0,10.5
P28 Amaz,$12.50,3,42.5,0,42.5
P3 Garee Curry,$9.50,88,858,0,858
P3 Garee Curry **,$9.50,21,210.5,0,210.5
P31 Amaz Grn Bean,$10.50,15,158,0,158
P31	 Spicy Amazing Green Beans  ***,$10.50,4,42,0,42
P32 Pad Nor Mai,$10.50,20,216,1.05,214.95
P32	 Spicy Pad Ped Nor Mai ****,$10.50,1,10.5,0,10.5
P34 Bean Sprout,$8.95,14,129.3,0,129.3
P34	 Stir-fried Bean Sprout,$8.95,2,17.9,0,17.9
P35 Kai Jeaw,$9.50,8,76,0,76
P35 Kai Jeaw 1/2,$4.75,2,9.5,0,9.5
P38 Kaeng Daeng Vegetables **,$10.50,7,82,0,82
P38 Kaeng Veg,$10.50,2,30,0,30
P4 Keow Wan Curry **,$9.50,17,170.5,0,170.5
P4 Keow Wan Curry ** (GF),$10.50,1,10.5,0,10.5
P4 KeowWan Curry,$9.50,72,709,0.95,708.05
P41 S Panang Beef,$14.95,36,540.2,3.74,536.46
P41 Special Panang Beef Curry **,$14.95,8,119.6,0,119.6
P42 S Garee Beef,$15.50,29,451.5,0,451.5
P42 S Garee Beef 1/2,$7.75,2,15.5,0,15.5
P42 Special Garee Beef Curry **,$15.50,3,46.5,0,46.5
P45 S Gang Prik,$10.95,12,135.4,0,135.4
P45 special Gang Prik ****,$10.95,2,21.9,0,21.9
P47 Pad Prik Gang,$10.50,34,375,2.63,372.37
P47 Pad Prik Gang ****,$10.50,4,42,0,42
P5 Gang Kua Supparod Curry*,$9.95,13,131.35,0,131.35
P5 Gang Supparod,$9.95,11,112,0,112
P5 Gang Supparod 1/5,$1.99,5,9.95,0,9.95
P6 Fried Rice,$8.75,168,1514,0,1514
P6 Fried Rice 1/2,$4.38,2,8.75,0,8.75
P6 Fried Rice 1/3,$2.92,3,8.75,0,8.75
P6	 House Fried Rice,$8.75,63,568,0,568
P6	 House Fried Rice (Veg),$9.95,2,20.7,0,20.7
P61 Crab FriRice,$14.25,31,455.75,0,455.75
P61 Mam's Crab Fried Rice,$14.25,7,101.75,0,101.75
P62 St FriRice,$9.75,71,698.25,0,698.25
P62 Street Fried Rice,$9.50,96,938,0,938
P62 Street Fried Rice 1/5,$1.90,5,9.5,0,9.5
P62	 Street Fried Rice,$9.75,70,710.5,0,710.5
P63 Thai egg Explosion,$10.75,34,365.5,0,365.5
P63 Thai Egg Explosion **,$10.75,2,24.5,0,24.5
P7 Pineapple Fried Rice,$11.75,24,290,0,290
P7 Pineapple Fried Rice (Veg),$11.75,3,35.25,0,35.25
P7 Pineapple FriRice,$11.75,67,804.25,0,804.25
P8 Pad Ga-Prao,$9.50,12,120,0,120
P8 Pad Ped Ga-Prao ** ,$9.50,5,47.5,0,47.5
P8 Pad Ped Ga-Prao ** (GF),$10.50,2,23,0,23
P9 Pad Ga-Prao,$10.50,2,21,0,21
P9 Pad Ped Ga-Prao ( Shrimp or Squid )**,$10.50,1,11,0,11
Pad KeeMao,$9.50,1,9.5,0,9.5
Pad Sea-Ew,$9.50,2,19,0,19
Pad Thai,$9.50,1,9.5,0,9.5
Pepsi,$2.50,37,92.5,0,92.5
Pure Green Tea,$3.00,6,18,0,18
Rice,$2.00,34,68,0,68
Roast Chili L,$15.00,4,60,0,60
Roast Chili S,$8.00,4,32,0,32
Root Beer,$2.50,1,2.5,0,2.5
S1 Mam's Salad,$4.95,7,34.65,0,34.65
S2 Yum Nuer,$11.25,10,115.5,0,115.5
S2 Yum Nuer **,$11.25,2,22.5,0,22.5
S2 Yum Tofu ** (Veg),$12.25,1,12.25,0,12.25
S3 Num Tok,$11.25,23,260.75,0,260.75
S3 Num Tok (Waterfall) **,$11.25,4,45,0,45
S4 Papaya Salad (Veg),$9.95,4,39.8,0,39.8
S4 Som Tum,$9.95,15,149.25,0,149.25
S4 Som Tum (Papaya Salad) **,$9.95,3,29.85,0,29.85
S5 Yum Green Bean *,$10.95,3,32.85,0,32.85
S5 Yum Grn Bean,$10.95,2,23.9,0,23.9
Sapporo,$3.00,9,27,0,27
SD Amz Sauce,$0.75,1,0.75,0,0.75
SD Broccoli,$2.00,2,4,0,4
SD Flat Noodle,$2.00,2,4,0,4
SD Mix Veggies,$3.00,1,3,0,3
SD Rice Stick Noodle,$2.00,1,2,0,2
SD Shrimp (4 pcs),$2.00,2,4,0,4
SD Vermicelli,$2.00,3,6,0,6
Sierra Mist,$2.50,2,5,0,5
Singha,$3.00,23,69,0,69
Singha Beer Bottle,$3.00,4,12,0,12
Sticky Rice,$3.00,6,18.75,0,18.75
Sub Brown Rice,$2.00,4,8,0,8
Sweet Ice Tea,$3.00,55,165,0,165
Sweet Sticky Rice topped with Coconut Sauce,$3.50,3,10.5,0,10.5
Teaw TomYum,$10.25,1,10.25,0,10.25
Thai Coffee,$3.50,65,227.5,0,227.5
Thai Coffee 1/2,$1.75,2,3.5,0,3.5
Thai Milk Green Tea,$3.95,107,422.65,0,422.65
Thai Milk Green Tea 1/2,$1.98,2,3.95,0,3.95
Thai Milk Green Tea(No Ice),$4.95,6,29.7,0,29.7
Thai Tea,$3.50,35,122.5,0,122.5
Thai Tea(No Ice),$4.75,2,9.5,0,9.5
Tiger,$3.00,15,45,0,45
Tom Kha,$9.50,1,9.5,0,9.5
TomYum Moo,$10.25,1,14.25,0,14.25
Tropicana Lemonade,$2.50,1,2.5,0,2.5
Vermicelli Rice Noodle,$3.00,1,3,0,3
Water,$1.50,2,3,0,3
Wings 1 Mix,$6.50,61,398.5,0,398.5
Wings 2 Mix,$11.00,31,342,1.1,340.9
Wings 2 Mix 1/2,$5.50,2,11,0,11
Wings 2 Mix 1/3,$3.67,3,11,0,11
Wings 3 Mix,$15.00,15,225,0,225
Wings 4 Mix,$20.00,3,60,0,60
Wings 5 Mix,$24.00,2,48,0,48
Wings 6 Mix,$27.00,1,27,0,27
