Food Name,Menu Price,Quantity,Gross,Discount,Net
(4 oz) Homemade Roasted Chili Oil,$10.00,3,30,0,30
(8oz) Homemade Roasted Chili Oil,$18.00,1,18,0,18
(L) Ozeki Sake,$7.00,3,21,0,21
(L) Ozeki Sake 1/3,$2.33,3,7,0,7
(L) Sake Bomb,$9.00,3,27,0,27
(S) Ozeki Sake,$5.00,12,60,0,60
(S) Sake Bomb,$6.00,9,54,0,54
A1 Madam Roll,$4.50,303,1362.5,5.65,1356.85
A1 Madam Roll 1/2,$2.25,2,4.5,0,4.5
A1 Madam Rolls,$4.50,107,495,0,495
A1 Madam Rolls (Veg),$4.50,2,9.75,0,9.75
A1 Sauce,$0.75,9,6.75,0,6.75
A11 Edamame,$6.00,65,390,0.6,389.4
A11 Edamame 1/2,$3.00,2,6,0,6
A11 Edamame 1/3,$2.00,3,6,0,6
A11 Edamame 1/4,$1.50,4,6,0,6
A11 Roasted Chili Edamame *,$6.00,20,120,0,120
A11 Sauce,$1.00,1,1,0,1
A2 Fresh Spring Rolls,$5.00,80,419.5,0,419.5
A2 Fresh Spring Rolls (GF),$5.00,8,40.75,0,40.75
A2 Fresh Spring Rolls (Veg),$5.00,6,30,0,30
A2 Sauce,$0.75,7,5.25,0,5.25
A2 Spring Roll,$5.00,199,995,0,995
A2 Spring Roll 1/2,$2.50,6,15,0,15
A3 Brussels,$7.00,123,861,3.85,857.15
A3 Brussels 1/2,$3.50,4,14,0,14
A3 Brussels 1/3,$2.33,3,7,0,7
A3 Brussels Sprout *,$7.00,37,259,0,259
A3 Brussels Sprout * (GF),$7.00,3,21,0,21
A3 Brussels Sprout * (Veg),$7.00,4,28,0,28
A4 Sauce,$0.75,2,1.5,0,1.5
A4 Thai Gyoza,$7.00,285,2007,5.95,2001.05
A4 Thai Gyoza (30 pcs.),$30.00,1,30,0,30
A4 Thai Gyoza 1/2,$3.50,8,28,0,28
A4 Thai Gyoza 1/4,$1.75,4,7,0,7
A4 Thai Gyoza 1/6,$1.17,6,7,0,7
Asahi,$5.00,18,81,0,81
Asahi (Bottle),$5.00,1,5,0,5
Bottle water,$1.00,1,1,0,1
Brown Rice,$3.00,5,15,0,15
Bud Light,$2.00,9,18,0,18
Bud Light TAB,$3.00,38,114,0,114
Bushido,$8.00,2,16,0,16
Chamomile Tea,$3.00,2,6,0.3,5.7
Chang,$2.00,4,17,0,17
Chili FishSauce,$0.75,2,1.5,0,1.5
Cloudfall Pinot Noir,$8.00,4,32,0,32
D1 Rice Mango,$7.00,73,511,3.5,507.5
D1 Rice Mango 1/2,$3.50,2,7,0,7
D1 Sweet Coconut Sticky Rice with Mango,$7.00,18,131,0,131
D1 Sweet Coconut Sticky Rice with Mango (Veg),$7.00,1,7,0,7
D2 Rice Custard,$5.50,17,93.5,0,93.5
D2 Sweet Coconut Sticky Rice with Thai Egg Custard,$6.00,6,35,0,35
"Decoy Cabernet Sauvignon, Gls",$15.00,1,15,0,15
Diet Dr.Pepper,$2.50,4,10,0,10
Diet Pepsi,$2.50,29,72.5,0,72.5
Dos XX TAB,$4.00,28,112,0,112
Dr.Pepper,$2.50,34,85,0,85
Extra A2 Sauce (Homemade Peanut Sauce),$0.75,3,2.25,0,2.25
Extra A4 Sauce (Mam's Homemade Thai Gyoza Sauce) ,$0.75,3,2.25,0,2.25
Extra S2 Sauce (Homemade Hot Spicy Lime Sauce),$1.00,1,1,0,1
F1 Pad Thai,$11.00,585,6503.35,3.3,6500.05
