Food Name,Menu Price,Quantity,Gross,Discount,Net
Kirin Ichiban (Bottle) ,$3.00,3,9,0,9
Kirin Ichiban 1/2,$1.00,2,2,0,2
Kirin Light,$3.00,1,3,0,3
Kirin Light (Bottle) ,$3.00,1,3,0,3
Kirin Light 1/2,$1.00,2,2,0,2
Lemongrass Ginger Tea,$3.00,8,24,0,24
Mam's Ice Thai Coffee,$3.50,21,73.5,0,73.5
Mam's Ice Thai Tea ,$3.50,12,42,0,42
Mam's Thai coffee (NO ICE),$4.75,2,9.5,0,9.5
Mam's Thai Milk Green Tea (No Ice),$4.95,1,4.95,0,4.95
Mam's Thai Tea (NO ICE),$4.75,2,9.5,0,9.5
Mam's Wings 10 Pieces,$13.00,11,144.75,0,144.75
Mam's Wings 15 Pieces,$18.00,4,73.5,0,73.5
Mam's Wings 20 Pieces,$24.00,1,24,0,24
Mam's Wings 5 Pieces,$6.50,18,130.5,0,130.5
Mex Coke,$3.00,8,24,0,24
Miller Lite,$3.00,2,6,0,6
Mountain Dew,$2.50,7,17.5,0,17.5
NS1 Guay Teaw Nuer Sod,$11.00,11,128,0,128
NS1 Teaw NuerSod,$9.50,52,574.5,4.4,570.1
NS11 Udon Tom Yum **,$11.00,5,57,0,57
NS11 Udon TomYum,$11.00,9,103,0,103
NS12 Yen Ta Fo Seafood **,$13.00,1,13,0,13
NS12 YenTaFo Sea,$13.00,7,93,0,93
NS13 Yen Ta Fo Tofu **,$11.00,5,55,0,55
NS13 YenTaFo Tofu,$9.95,6,63.9,0,63.9
NS14 Guay Teaw Tom Yum Moo ****,$11.00,2,22,0,22
NS14 TomYum Moo,$11.00,15,169,0,169
NS15 Tom Khlong,$9.50,8,83.5,0,83.5
NS15 Tom Khlong **.,$11.00,6,74,0,74
NS16 Kao Soi,$10.95,53,665.95,1.25,664.70
NS16 Kao Soi **,$12.50,12,155.5,0,155.5
NS5 Guay Teaw Moo,$11.00,2,22,0,22
NS5 Teaw Moo,$9.50,14,153,0,153
NS6 Guay Teaw Gai Toon,$11.00,4,44,0,44
NS6 Teaw Gai,$9.50,21,235.5,0,235.5
NS8 Guay Teaw Tom Yum **,$10.25,16,175.25,0,175.25
NS8 Teaw TomYum,$10.25,19,202.75,2.56,200.19
NS9 Guay Teaw Tom Yum Seafood **,$13.00,3,40.5,0,40.5
NS9 Teaw TomYum Sea,$13.00,12,158,0,158
Oolong Tea,$3.00,5,15,0,15
Open Food,$0.00,6,12,0,12
P1 Basil Fried Rice,$9.75,252,3055.7,5.3,3050.4
P1 Basil Fried Rice 1/2,$4.88,4,23.75,0,23.75
P1 Spicy Basil Fried Rice ****,$9.75,57,698.25,0,698.25
P10 Spicy Tom Yum Soup **,$11.00,3,39,0,39
P10 TomYum,$9.50,35,394,0,394
P10 TomYum 1/5,$2.20,5,11,0,11
P11 Spicy Tom Kha Coconut Soup**,$11.00,21,237,0,237
P11 Tom Kha,$9.50,65,724,0,724
P11 Tom Kha 1/3,$3.67,3,11,0,11
P12 Panang Curry,$9.50,149,1642.5,0,1642.5
P12 Panang Curry **,$9.50,54,638.5,0,638.5
P12 Panang Curry ** (GF),$11.00,1,11,0,11
P12 Panang Curry 1/2,$5.50,2,11,0,11
P12 Panang Curry 1/5,$2.20,5,11,0,11
P13 Masman Curry,$9.50,63,700,0,700
P13 Masman Curry **,$9.50,21,231.5,0,231.5
P13 Masman Curry 1/2,$5.50,4,22,0,22
P14 Mixed Vegetable Stir-fried,$11.00,15,175,0,175
P14 Veg Stir-fried,$9.50,46,511.5,0,511.5
P14 Veg Stir-fried 1/2,$5.50,2,11,0,11
P15 Prik Thai Dum,$10.50,32,414.5,0,414.5
P15 Prik Thai Dum 1/4,$3.25,4,13,0,13
P15	 Pad Prik Thai Dum *,$13.00,11,152.5,0,152.5
P18 Sweet & Sour,$9.50,31,401,1.43,399.57
P18 Thai Sweet and Sour,$13.00,3,39,0,39
P19 Rice Soup,$11.00,4,44,0,44
P19	 Rice soup,$11.00,1,13,0,13
P2 Pad Ga-Tiam,$9.50,60,675,2.1,672.9
P2 Pad Ga-Tiam 1/2,$5.50,2,11,0,11
P2 Pad Ga-Tiam 1/3,$3.67,3,11,0,11
P2 Pad Ga-Tiam Prik Thai *,$9.50,15,174.5,0,174.5
P22 Prik Khing,$9.75,31,344.5,0,344.5
P22 Prik Khing 1/2,$5.50,2,11,0,11
P22	 Pad Prik Khing **,$9.75,7,75.75,0,75.75
P24 Prik Pao,$9.50,26,305,0,305
P24	 Pad Prik Pao*,$9.50,12,143.5,0,143.5
P24	 Pad Prik Pao* (GF),$11.00,3,37,0,37
P25 Gang Jeud,$10.50,2,21,0,21
P25	 Gang Jeud (Soup),$10.50,1,10.5,0,10.5
P26 Gang Pa,$10.50,22,274,0,274
P26 Gang Pa (Jungle Curry) ****,$12.50,5,64.5,0,64.5
P28 Amaz,$14.00,9,130,0,130
P28	 Amazing Seafood Green Beans ***,$14.00,2,30.5,0,30.5
P3 Garee Curry,$9.50,88,969.5,1.65,967.85
P3 Garee Curry **,$9.50,37,407.5,0,407.5
P3 Garee Curry 1/2,$5.50,4,22,0,22
P3 Solo Curry,$5.00,1,5,0,5
P31 Amaz Grn Bean,$10.50,18,219.5,0,219.5
P31	 Spicy Amazing Green Beans  ***,$12.00,3,36.75,0,36.75
P32 Pad Nor Mai,$10.50,9,107,0,107
P32 Pad Nor Mai 1/2,$6.00,4,24,0,24
P32	 Spicy Pad Ped Nor Mai ****,$12.00,3,44,0,44
P34 Bean Sprout,$8.95,21,227.85,0,227.85
P34	 Stir-fried Bean Sprout,$8.95,6,68.95,0,68.95
P35 Kai Jeaw,$9.50,7,74,0,74
P35	 Kai Jeaw,$11.00,1,11,0,11
P38 Kaeng Daeng Vegetables **,$10.50,10,126.5,0,126.5
P38 Kaeng Veg,$10.50,21,278.5,0,278.5
P4 Keow Wan Curry **,$9.50,32,363,0,363
P4 Keow Wan Curry ** (GF),$11.00,3,33,0,33
P4 KeowWan Curry,$9.50,80,886,0,886
P41 S Panang Beef,$14.95,35,584.75,8.5,576.25
P41 S Panang Beef 1/4,$4.25,4,17,0,17
P41 Special Panang Beef Curry **,$17.00,5,87,0,87
P42 S Garee Beef,$15.50,24,422,4.38,417.62
P42 Special Garee Beef Curry **,$17.50,2,35,0,35
P45 S Gang Prik,$11.00,18,208,0,208
P45 special Gang Prik ****,$11.00,3,35,0,35
P47 Pad Prik Gang,$10.50,25,282.5,3.25,279.25
P47 Pad Prik Gang ****,$11.00,9,114,0,114
P47 Pad Prik Gang 1/2,$5.50,4,22,0,22
P5 Gang Kua Supparod Curry*,$11.00,8,94,0,94
P5 Gang Supparod,$9.95,24,269.15,0,269.15
P5 Gang Supparod 1/2,$5.50,2,11,0,11
P6 Fried Rice,$8.75,302,3102.2,1,3101.2
P6 Fried Rice 1/2,$5.00,4,20,0,20
P6	 House Fried Rice,$8.75,126,1326.2,0,1326.2
P6	 House Fried Rice (Veg),$10.00,1,10,0,10
P61 Crab FriRice,$14.25,50,792,6.94,785.06
P61 Crab FriRice 1/3,$5.33,3,16,0,16
P61 Mam's Crab Fried Rice,$14.25,16,261.75,0,261.75
P62 St FriRice,$9.75,137,1540.25,0,1540.25
P62 St FriRice 1/2,$5.50,4,22,0,22
P62 St FriRice 1/5,$2.20,5,11,0,11
P62 Street Fried Rice,$9.50,138,1457.25,0,1457.25
P62 Street Fried Rice 1/2,$4.75,2,9.5,0,9.5
P62	 Street Fried Rice,$9.75,108,1233.6,0,1233.6
P63 Thai egg Explosion,$10.75,22,251.5,0,251.5
P63 Thai Egg Explosion **,$11.50,2,23,0,23
P63 Thai egg Explosion 1/2,$5.75,4,25,0,25
P7 Pineapple Fried Rice,$14.00,25,355,0,355
P7 Pineapple Fried Rice (Veg),$14.00,4,58,0,58
P7 Pineapple FriRice,$11.75,101,1408.5,0,1408.5
P7 Pineapple FriRice 1/2,$7.00,4,28,0,28
P8 Pad Ga-Prao,$9.50,21,229.5,0,229.5
P8 Pad Ped Ga-Prao ** ,$9.50,12,134.5,0,134.5
P9 Pad Ga-Prao,$10.50,8,101.5,0,101.5
P9 Pad Ped Ga-Prao ( Shrimp or Squid )**,$10.50,2,23.5,0,23.5
P9 Pad Ped Ga-Prao ( Shrimp or Squid )** (GF),$13.00,2,31,0,31
Pepsi,$2.50,50,125,0.5,124.5
Plain Sticky Rice,$2.50,2,5,0,5
