F14 Pad WoonSen,$9.95,25,250.75,1,249.75,2021-01-01 00:00:00,2021-01-31 00:00:00
F15 Pad Woon Sen,$11.95,3,35.85,0,35.85,2021-01-01 00:00:00,2021-01-31 00:00:00
F2 Pad Thai,$10.50,28,298,0,298,2021-01-01 00:00:00,2021-01-31 00:00:00
F2 Pad Thai ( Shrimp or Squid )*,$11.25,16,173.75,0,173.75,2021-01-01 00:00:00,2021-01-31 00:00:00
F3 Pad Sea-Ew,$9.50,661,6406.25,0,6406.25,2021-01-01 00:00:00,2021-01-31 00:00:00
F4 Pad Sea-Ew,$10.50,23,243.5,0,243.5,2021-01-01 00:00:00,2021-01-31 00:00:00
F4 Pad Sea-Ew ( Shrimp or Squid ),$11.25,13,144.75,0,144.75,2021-01-01 00:00:00,2021-01-31 00:00:00
F5 Pad KeeMao,$9.50,146,1396,0,1396,2021-01-01 00:00:00,2021-01-31 00:00:00
F5 Spicy Pad Kee Mao (Drunken Noodle)***,$9.25,103,1000.75,0,1000.75,2021-01-01 00:00:00,2021-01-31 00:00:00
F6 Pad KeeMao,$10.50,10,107,0,107,2021-01-01 00:00:00,2021-01-31 00:00:00
F6 Spicy Pad Kee Mao (Drunken Noodle Sh/Sq)***,$11.25,15,167.5,0,167.5,2021-01-01 00:00:00,2021-01-31 00:00:00
F7 Lard Na,$9.25,19,180.75,0,180.75,2021-01-01 00:00:00,2021-01-31 00:00:00
F8 Lard Na,$10.50,2,21,0,21,2021-01-01 00:00:00,2021-01-31 00:00:00
F9 Pad Macaroni,$9.50,7,66.5,0,66.5,2021-01-01 00:00:00,2021-01-31 00:00:00
Fireman #4,$3.00,1,3,0,3,2021-01-01 00:00:00,2021-01-31 00:00:00
Flat Rice Noodle,$3.00,1,3,0,3,2021-01-01 00:00:00,2021-01-31 00:00:00
Fried Egg Noodle,$3.00,1,3,0,3,2021-01-01 00:00:00,2021-01-31 00:00:00
G1 Lek Hang,$9.50,2,23.5,0,23.5,2021-01-01 00:00:00,2021-01-31 00:00:00
G1 Sen Lek Hang,$9.25,3,28.25,0,28.25,2021-01-01 00:00:00,2021-01-31 00:00:00
G1 Soup,$2.00,1,2,0,2,2021-01-01 00:00:00,2021-01-31 00:00:00
G4 Yum Guay Teaw *,$9.25,7,83,0,83,2021-01-01 00:00:00,2021-01-31 00:00:00
G4 Yum Teaw*,$9.75,8,79,0,79,2021-01-01 00:00:00,2021-01-31 00:00:00
Ice Thai Milk Green Tea ,$3.00,15,56.4,0,56.4,2021-01-01 00:00:00,2021-01-31 00:00:00
Jarritos,$3.00,20,60,0,60,2021-01-01 00:00:00,2021-01-31 00:00:00
Jasmin Jade Tea,$3.00,3,9,0,9,2021-01-01 00:00:00,2021-01-31 00:00:00
Jasmine White Rice,$2.50,13,32.5,0,32.5,2021-01-01 00:00:00,2021-01-31 00:00:00
KeowWan Curry,$9.50,1,9.5,0,9.5,2021-01-01 00:00:00,2021-01-31 00:00:00
Madam Roll,$4.50,2,9,0,9,2021-01-01 00:00:00,2021-01-31 00:00:00
Mam's Ice Thai Coffee,$3.00,16,55.5,0,55.5,2021-01-01 00:00:00,2021-01-31 00:00:00
Mam's Ice Thai Tea ,$3.00,56,193,0,193,2021-01-01 00:00:00,2021-01-31 00:00:00
Mam's Thai Tea (NO ICE),$4.00,7,32.5,0,32.5,2021-01-01 00:00:00,2021-01-31 00:00:00
Mam's Wings 10 Pieces,$11.00,22,245.25,0,245.25,2021-01-01 00:00:00,2021-01-31 00:00:00
Mam's Wings 15 Pieces,$15.00,4,60,0,60,2021-01-01 00:00:00,2021-01-31 00:00:00
Mam's Wings 20 Pieces,$20.00,2,40.75,0,40.75,2021-01-01 00:00:00,2021-01-31 00:00:00
Mam's Wings 30 Pieces,$27.00,3,81,0,81,2021-01-01 00:00:00,2021-01-31 00:00:00
Mam's Wings 5 Pieces,$6.50,29,196.5,0,196.5,2021-01-01 00:00:00,2021-01-31 00:00:00
Masman Curry,$9.50,2,19,0,19,2021-01-01 00:00:00,2021-01-31 00:00:00
Mex Coke,$3.00,15,45,0,45,2021-01-01 00:00:00,2021-01-31 00:00:00
Miller Lite,$3.00,3,9,0,9,2021-01-01 00:00:00,2021-01-31 00:00:00
Mountain Dew,$2.50,3,7.5,0,7.5,2021-01-01 00:00:00,2021-01-31 00:00:00
NS1 Guay Teaw Nuer Sod,$9.50,11,110,0,110,2021-01-01 00:00:00,2021-01-31 00:00:00
